Titolo,Link,Età,Descrizione,Tipo,Difficoltà,Durata,Lingua,Keywords
Functions Explore / Investigate,https://studio.code.org/s/csp4-2022/lessons/9,14+,"Students begin the lesson by considering two ways to write out the lyrics of a song, one that includes a lot of repeated text and one that does not. After exploring this example students complete a series of investigate activities in which functions have been used to remove repeated code from a program. At the conclusion of the lesson students discuss the concept of a function to synthesize their learning and add definitions to their journal.",Quiz,Media,30-60,Inglese,"['considering two ways', 'example students complete', 'remove repeated code', 'lesson students discuss', 'students begin']"
 Functions Practice,https://studio.code.org/s/csp4-2022/lessons/10,14+,In this lesson students spend most of their time practicing using the skills and processes they have learned about functions. At the conclusion of the lesson students discuss remaining questions in anticipation of their Make project in the following lesson.,Quiz,Media,30-60,Inglese,"['lesson students discuss remaining questions', 'lesson students spend', 'time practicing using', 'following lesson', 'make project']"
 Functions Make,https://studio.code.org/s/csp4-2022/lessons/11,14+,Using Programming Patterns and a step-by-step approach students make their own version of a Quote Maker app. At the beginning of the lesson students are able to explore a working version of the app. They are then given the design elements of the app but begin with a blank screen. Students use an Activity Guide to go through the high level steps they should use to develop their app but leaves it to them to decide how to write the code. At the end students submit their apps which can be assessed using a provided rubric.,Esercizi,Media,30-60,Inglese,"['step approach students make', 'high level steps', 'end students submit', 'using programming patterns', 'quote maker app']"
 Project   Decision Maker App Part 1,https://studio.code.org/s/csp4-2022/lessons/12,14+,"Using a Project Planning Guide, students work through the stages of creating an app from scratch. This is the first day of a three-day project. This lesson is devoted to the planning phase.",Esercizi,Media,30-60,Inglese,"['project planning guide', 'planning phase', 'day project', 'students work', 'first day']"
 Project   Decision Maker App Part 2,https://studio.code.org/s/csp4-2022/lessons/13,14+,Students translate the plans they documented in Part 1 of the Practice PT to a working program in App Lab through a series of steps. ,Esercizi,Media,30-60,Inglese,"['working program', 'students translate', 'practice pt', 'part 1', 'app lab']"
 Project   Decision Maker App Part 3,https://studio.code.org/s/csp4-2022/lessons/14,14+,The final lesson in the Practice PT progression is devoted to feedback and improvements to the Decision Maker App. Students work with classmates to review and update the functionality of their apps before submitting the final project. ,Quiz,Media,30-60,Inglese,"['practice pt progression', 'decision maker app', 'students work', 'final project', 'final lesson']"
 Assessment Day,https://studio.code.org/s/csp4-2022/lessons/15,14+,Students complete a multiple choice assessment which covers the unit topics.,Quiz,Media,30-60,Inglese,"['multiple choice assessment', 'unit topics', 'students complete', 'covers']"
Lists Explore,https://studio.code.org/s/csp5-2022/lessons/1,14+,"Students will learn the ways that lists are created, accessed, and changed through a teacher-guided activity using plastic baggies and pieces of paper. The lesson begins with a brief reflection on the value of lists. Students then complete the main activity which introduces the syntax to use lists and the ways they can be used. To wrap up students watch two short videos on lists and record the main concepts in their journals.",Quiz,Media,30-60,Inglese,"['guided activity using plastic baggies', 'students watch two short videos', 'main activity', 'main concepts', 'lesson begins']"
Lists Investigate,https://studio.code.org/s/csp5-2022/lessons/2,14+,"In this lesson students work with partners to investigate three different apps that use lists. Students first explore all three apps without seeing the code to notice similarities and predict how they will work. Then they explore the code itself and make additions and modifications to the apps. To conclude the lesson, students review and discuss common programming patterns with conditionals.",Esercizi,Media,30-60,Inglese,"['discuss common programming patterns', 'three apps without seeing', 'investigate three different apps', 'students first explore', 'lesson students work']"
Lists Practice,https://studio.code.org/s/csp5-2022/lessons/3,14+,"Practice the basics of lists including creating lists and accessing, inserting, and removing elements from lists. ",Quiz,Media,30-60,Inglese,"['lists including creating lists', 'removing elements', 'lists', 'practice', 'inserting']"
Lists Make,https://studio.code.org/s/csp5-2022/lessons/4,14+,Using Programming Patterns and a step-by-step approach students make their own version of a Reminder app. At the beginning of the lesson students are able to explore a working version of the app. They are then given the design elements of the app but begin with a blank screen. Students use an Activity Guide to go through the high level steps they should use to develop their app but leaves it to them to decide how to write the code. At the end students submit their apps which can be assessed using a provided rubric.,Esercizi,Media,30-60,Inglese,"['step approach students make', 'high level steps', 'end students submit', 'using programming patterns', 'lesson students']"
Loops Explore,https://studio.code.org/s/csp5-2022/lessons/5,14+,"Students begin the lesson by discussing the purpose of loops before completing the unplugged activity. This activity involves moving a ""robot"" around a game board while practicing tracing blocks of code by hand. To conclude, the lesson is wrapped up with a vocabulary discussion and a video.  ",Quiz,Media,30-60,Inglese,"['practicing tracing blocks', 'activity involves moving', 'unplugged activity', 'vocabulary discussion', 'students begin']"
Loops Investigate,https://studio.code.org/s/csp5-2022/lessons/6,14+,Students practice using the for loop in order to repeatedly run pieces of code. The lesson begins with a quick investigation of an app that flips coins. After that code investigation students complete another investigation with an app that uses loops to update screen elements. ,Quiz,Media,30-60,Inglese,"['code investigation students complete another investigation', 'students practice using', 'update screen elements', 'repeatedly run pieces', 'quick investigation']"
Loops Practice,https://studio.code.org/s/csp5-2022/lessons/7,14+,"Students practice the basics of loops including using while loops, for loops, and updating multiple screen elements with a for loop. Along the way students develop debugging practices with loops.",Quiz,Media,30-60,Inglese,"['way students develop debugging practices', 'updating multiple screen elements', 'loops including using', 'students practice', 'loops']"
Loops Make,https://studio.code.org/s/csp5-2022/lessons/8,14+,Using Programming Patterns and a step-by-step approach students make their own version of a Lock Screen Maker app. At the beginning of the lesson students are able to explore a working version of the app. They are then given the design elements of the app but begin with minimal starting code. A progression of levels guides students on the high level steps they should use to develop their app but leaves it to them to decide how to write the code. At the end students submit their apps which can be assessed using a provided rubric.,Esercizi,Media,30-60,Inglese,"['lock screen maker app', 'step approach students make', 'levels guides students', 'high level steps', 'end students submit']"
Traversals Explore,https://studio.code.org/s/csp5-2022/lessons/9,14+,"The lesson begins with a quick review of lists and loops before moving into the main activity. Here students explore the concept with the Traversal Machine, a physical model of traversal using a for loop. ",Quiz,Media,30-60,Inglese,"['traversal using', 'traversal machine', 'students explore', 'quick review', 'physical model']"
 Traversals Investigate,https://studio.code.org/s/csp5-2022/lessons/10,14+,"In this lesson students work with partners to investigate three different apps that use traversal to access items in a lists. Students first explore all three apps without seeing the code to notice similarities and predict how they will work. Then they explore the code itself and make additions and modifications to the apps. To conclude the lesson, students review and discuss common programming patterns with traversals.",Quiz,Media,30-60,Inglese,"['discuss common programming patterns', 'three apps without seeing', 'investigate three different apps', 'students first explore', 'lesson students work']"
 Traversals Practice,https://studio.code.org/s/csp5-2022/lessons/11,14+,"Students practice traversing lists, filtering and reducing lists, and using the data import tools. Along the way students develop debugging practices with traversals.",Quiz,Media,30-60,Inglese,"['way students develop debugging practices', 'students practice traversing lists', 'data import tools', 'reducing lists', 'using']"
 Traversals Make,https://studio.code.org/s/csp5-2022/lessons/12,14+,Using Programming Patterns and a step-by-step approach students make their own version of a Random Forecaster app. At the beginning of the lesson students are able to explore a working version of the app. They are then given the design elements of the app but begin with a blank screen. Students use an Activity Guide to go through the high level steps they should use to develop their app but leaves it to them to decide how to write the code. At the end students submit their apps which can be assessed using a provided rubric.,Esercizi,Media,30-60,Inglese,"['step approach students make', 'high level steps', 'end students submit', 'using programming patterns', 'random forecaster app']"
 Project   Hackathon Part 1,https://studio.code.org/s/csp5-2022/lessons/13,14+,"This is the first day of a five-day unit project. Students begin the project by choosing a partner, determining a dataset to design the app around, and creating a paper prototype. ",Testo,Media,30-60,Inglese,"['day unit project', 'first day', 'students begin', 'paper prototype', 'app around']"
 Project   Hackathon Part 2,https://studio.code.org/s/csp5-2022/lessons/14,14+,This is the second day of a five-day unit project. Students continue to plan for the project by filling out tables of information on element IDs and programming constructs before each tackling a different role in the project as a designer or a programmer. ,Esercizi,Media,30-60,Inglese,"['day unit project', 'second day', 'students continue', 'programming constructs', 'element ids']"
 Project   Hackathon Part 3,https://studio.code.org/s/csp5-2022/lessons/15,14+,This is the third day of a five-day unit project. Students continue to build their apps. ,Esercizi,Media,30-60,Inglese,"['day unit project', 'third day', 'students continue', 'five', 'build']"
 Project   Hackathon Part 4,https://studio.code.org/s/csp5-2022/lessons/16,14+,This is the fourth day of a five-day unit project. Students continue to build their apps. ,Esercizi,Media,30-60,Inglese,"['day unit project', 'fourth day', 'students continue', 'five', 'build']"
 Project   Hackathon Part 5,https://studio.code.org/s/csp5-2022/lessons/17,14+,"This is the final day of a five-day unit project. Students complete a Written Response, individually answering prompts about the project. Students then share their apps during a gallery walk. ",Quiz,Media,30-60,Inglese,"['individually answering prompts', 'day unit project', 'final day', 'written response', 'gallery walk']"
 Assessment Day,https://studio.code.org/s/csp5-2022/lessons/18,14+,Students complete a multiple choice assessment which covers the unit topics.,Quiz,Media,30-60,Inglese,"['multiple choice assessment', 'unit topics', 'students complete', 'covers']"
 CS Principles Post-Course Survey,https://studio.code.org/s/csp5-2022/lessons/19,14+,This level appears at the end of every unit. Please have your students complete this survey at the end of their final unit! Students only need to take the survey once at the end of the course.,Testo,Facile,0-30,Inglese,"['level appears', 'final unit', 'every unit', 'students complete', 'students']"
Algorithms Solve Problems,https://studio.code.org/s/csp6-2022/lessons/1,14+,Students will complete two exploratory activities that introduce the concept of a problem and an algorithm. In the first students answer a series of questions about birthdates and names of their classmates. They then discuss the similarities and differences between the problems. In the second activity students are given six different algorithms and must analyze them to determine which they think are the same or different. At the end of the lesson they are introduced to the formal definitions of a problem and an algorithm.,Quiz,Media,30-60,Inglese,"['complete two exploratory activities', 'given six different algorithms', 'second activity students', 'first students answer', 'must analyze']"
Algorithm Efficiency,https://studio.code.org/s/csp6-2022/lessons/2,14+,"In this lesson students follow a demonstration of Linear Search before writing their own search algorithms. Following this, students are introduced to Binary Search after which they compare graphs of the search algorithms to determine which is most efficient. ",Quiz,Media,30-60,Inglese,"['lesson students follow', 'search algorithms', 'search algorithms', 'linear search', 'compare graphs']"
Unreasonable Time,https://studio.code.org/s/csp6-2022/lessons/3,14+,Students investigate two different types of raffles that highlight the way seemingly small problems can quickly grow large. The first raffle asks students to hunt for pairs of tickets that add to a target value. The second raffle asks students to hunt for any group of tickets that adds to a target value. After trying out each raffle live students will try to figure out the patterns for how many total combinations need to be checked in each. At the end they discuss the difference between reasonable and unreasonable algorithms based on their experiences.,Quiz,Media,30-60,Inglese,"['students investigate two different types', 'way seemingly small problems', 'many total combinations need', 'second raffle asks students', 'first raffle asks students']"
The Limits of Algorithms,https://studio.code.org/s/csp6-2022/lessons/4,14+,Students explore the limits of what algorithms are able to compute. First they use a widget that exposes students to the Traveling Salesman Problem. After recognizing this problem can only be solved using an unreasonable time algorithm the develop their own good enough solutions that run more efficiently. Later in the lesson students watch a video about undecidable problems for which no algorithm can ever be developed to solve them.,Quiz,Media,30-60,Inglese,"['good enough solutions', 'lesson students watch', 'unreasonable time algorithm', 'traveling salesman problem', 'students explore']"
Parallel and Distributed Algorithms,https://studio.code.org/s/csp6-2022/lessons/5,14+,"In this lesson students explore the benefits and limitations of parallel and distributed computing. First they discuss the way human problem solving changes when additional people lend a hand. Then they run a series of demonstrations that show how simple tasks like sorting cards get faster when more people help, but there is a limitation to the efficiency gains. Later in the lesson students watch a video about distributed computing that highlights the ways distributed computing can help tackle new kinds of problems. To conclude the lesson students record new vocabulary in their journals and discuss any open questions.",Quiz,Media,30-60,Inglese,"['simple tasks like sorting cards get faster', 'way human problem solving changes', 'lesson students record new vocabulary', 'help tackle new kinds', 'lesson students watch']"
Assessment Day,https://studio.code.org/s/csp6-2022/lessons/6,14+,Students complete a multiple choice assessment which covers the unit topics.,Quiz,Media,30-60,Inglese,"['multiple choice assessment', 'unit topics', 'students complete', 'covers']"
CS Principles Post-Course Survey,https://studio.code.org/s/csp6-2022/lessons/7,14+,This level appears at the end of every unit. Please have your students complete this survey at the end of their final unit! Students only need to take the survey once at the end of the course.,Testo,Facile,0-30,Inglese,"['level appears', 'final unit', 'every unit', 'students complete', 'students']"
Parameters and Return Explore,https://studio.code.org/s/csp7-2022/lessons/1,14+,"Students work with envelopes and paper to model functions with parameters and return values. Students create their own physical function envelope for drawing a house that takes in different parameters, and then build another function to calculate and return the cost of building that house.  ",Quiz,Media,30-60,Inglese,"['physical function envelope', 'build another function', 'students work', 'students create', 'model functions']"
Parameters and Return Investigate,https://studio.code.org/s/csp7-2022/lessons/2,14+,"In this lesson, students work with partners to investigate two different apps that use parameters and return values. ",Quiz,Media,30-60,Inglese,"['investigate two different apps', 'use parameters', 'students work', 'return values', 'partners']"
Parameters and Return Practice,https://studio.code.org/s/csp7-2022/lessons/3,14+,Students practice writing programs with parameters and return values by creating and debugging functions that use them.,Quiz,Media,30-60,Inglese,"['students practice writing programs', 'return values', 'debugging functions', 'use', 'parameters']"
Parameters and Return Make,https://studio.code.org/s/csp7-2022/lessons/4,14+,"Students use the knowledge and skills they've developed working with parameters and return values to develop a Rock Paper Scissors App. Unlike typical Make projects, students are given a significant portion of the starter code but are given three functions with parameters and return values that they'll need to develop themselves. At the end students submit their apps which can be assessed using a provided rubric.",Esercizi,Media,30-60,Inglese,"['unlike typical make projects', 'rock paper scissors app', 'given three functions', 'end students submit', 'students use']"
Libraries Explore,https://studio.code.org/s/csp7-2022/lessons/5,14+,Students learn the basics of libraries while building upon the envelope model of a function with a folder to represent a library. ,Quiz,Media,30-60,Inglese,"['students learn', 'envelope model', 'building upon', 'represent', 'library']"
Libraries Investigate,https://studio.code.org/s/csp7-2022/lessons/6,14+,In this lesson students work with partners to investigate two apps that use libraries as well as the code used to make a library. Through a series of guided discussions they learn how libraries help programmers simplify and reuse their code.,Quiz,Media,30-60,Inglese,"['libraries help programmers simplify', 'lesson students work', 'investigate two apps', 'use libraries', 'guided discussions']"
Libraries Practice,https://studio.code.org/s/csp7-2022/lessons/7,14+,"Students practice important skills for working with libraries, including testing and debugging libraries, and using libraries to help develop apps. After a brief introduction to these practices by the teacher, students spend the majority of their time programming in a level progression.",Quiz,Media,30-60,Inglese,"['students practice important skills', 'help develop apps', 'students spend', 'time programming', 'level progression']"
Project   Make a Library Part 1,https://studio.code.org/s/csp7-2022/lessons/8,14+,In this lesson students begin a multi-day project designing a library of functions. Students will brainstorm common problems they've encountered while programming this year and begin to design functions that address those common problems.,Esercizi,Media,30-60,Inglese,"['day project designing', 'brainstorm common problems', 'lesson students begin', 'common problems', 'design functions']"
Project   Make a Library Part 2,https://studio.code.org/s/csp7-2022/lessons/9,14+,Students continue to develop their library of functions. Students are encouraged to begin developing tests for their functions to make sure they return values as expected. Late in the lesson students exchange their library with a classmate for feedback.,Esercizi,Media,30-60,Inglese,"['begin developing tests', 'lesson students exchange', 'students continue', 'return values', 'make sure']"
 Project   Make a Library Part 3,https://studio.code.org/s/csp7-2022/lessons/10,14+,"Students complete their library project, finalizing their code and writing written responses explaining the way one of the functions in their library works.",Quiz,Media,30-60,Inglese,"['writing written responses explaining', 'way one', 'students complete', 'library works', 'library project']"
 Assessment Day,https://studio.code.org/s/csp7-2022/lessons/11,14+,Students complete a multiple choice assessment which covers the unit topics. ,Quiz,Media,30-60,Inglese,"['multiple choice assessment', 'unit topics', 'students complete', 'covers']"
 CS Principles Post-Course Survey,https://studio.code.org/s/csp7-2022/lessons/12,14+,This level appears at the end of every unit. Please have your students complete this survey at the end of their final unit! Students only need to take the survey once at the end of the course.,Testo,Facile,0-30,Inglese,"['level appears', 'final unit', 'every unit', 'students complete', 'students']"
Create PT   Review the Task,https://studio.code.org/s/csp8-2022/lessons/1,14+,"This lesson contains a series of activities you can use to help students familiarize themselves with Create Performance Task, how it is scored, and some example tasks created by Code.org.",Testo,Media,30-60,Inglese,"['help students familiarize', 'example tasks created', 'create performance task', 'lesson contains', 'use']"
Create PT Deep Dive,https://studio.code.org/s/csp8-2022/lessons/2,14+,"This lesson is designed to introduce the nuances of the Create PT, and begin to provide some answers to the questions that will inevitably arise. The Create PT is in many ways straightforward: you complete a self-directed programming project and respond to prompts about your program and process. As you dig into the details of the task, however, you quickly come across some of the nuances of individual components of the task and how they're scored. ",Testo,Media,30-60,Inglese,"['quickly come across', 'many ways straightforward', 'directed programming project', 'inevitably arise', 'individual components']"
Create PT   Make a Plan,https://studio.code.org/s/csp8-2022/lessons/3,14+,This lesson uses the Create PT Survival Guide to help students narrow down and brainstorm ideas for their actual project. The lesson concludes by providing students with resources to make a plan to complete the task starting in the next lesson.,Testo,Media,30-60,Inglese,"['create pt survival guide', 'help students narrow', 'providing students', 'task starting', 'next lesson']"
Create PT - Complete the Task (12 hrs),https://studio.code.org/s/csp8-2022/lessons/4,14+,"It is finally time for students to take on the Create Performance Task. For a total of 12 class hours, students should work on their projects with only types of teacher support allowed (essentially: Advise on process, don’t influence or evaluate ideas).  Students may also work with a collaborative partner in in development of their program - written responses must be done on their own.",Quiz,Difficile,90-120,Inglese,"['students may also work', 'written responses must', 'teacher support allowed', 'evaluate ideas ).', 'create performance task']"
CS Principles Post-Course Survey,https://studio.code.org/s/csp8-2022/lessons/5,14+,This level appears at the end of every unit. Please have your students complete this survey at the end of their final unit! Students only need to take the survey once at the end of the course.,Testo,Facile,0-30,Inglese,"['level appears', 'final unit', 'every unit', 'students complete', 'students']"
Learning from Data,https://studio.code.org/s/csp9-2022/lessons/1,14+,"In this lesson students explore the “What’s Going on in this Graph?” site in order to tell a ""data story"" which explains both what the data shows and why that might be. Following this, students are introduced to the concept of metadata and look for the metadata of datasets on App Lab.",Quiz,Media,30-60,Inglese,"['graph ?” site', 'lesson students explore', 'data story', 'data shows', 'app lab']"
Exploring One Column,https://studio.code.org/s/csp9-2022/lessons/2,14+,"Students will practice making conclusions from charts and learn to use the Data Visualizer in App Lab to make create two different kinds of charts a bar chart, and a histogram. The lesson begins with a quick prompt to review the reasons charts are useful for looking at data. Students then practice reading a bar chart and review the kinds of questions it is and is not useful for answering. Afterwards they build different bar charts in the Data Visualizer and discuss why some are or are not useful. Afterwards they learn how to make histograms for building charts in instances where bar charts may not be useful. Students record their work on an activity guide. The lesson concludes with a brief review of what they learned.",Quiz,Media,30-60,Inglese,"['make create two different kinds', 'build different bar charts', 'practice making conclusions', 'bar charts may', 'make histograms']"
Filtering and Cleaning Data,https://studio.code.org/s/csp9-2022/lessons/3,14+,"In this lesson, student explore the challenges of working with a messy dataset. First students learn how to identify issues using the Data Visualizer, and then manually clean the data. Following this, students learn about the filtering tools in the Data Visualizer, and use a guided activity to answer data questions that require filtering a dataset. ",Quiz,Media,30-60,Inglese,"['identify issues using', 'first students learn', 'answer data questions', 'students learn', 'student explore']"
Exploring Two Columns,https://studio.code.org/s/csp9-2022/lessons/4,14+,"Students will practice making conclusions from charts and learn to use the Data Visualizer in App Lab to make create two different kinds of charts, a cross tab, and a scatterplot. Students will practice reading each type of chart before learning to make them in the Data Visualizer. Students will track their work using a provided activity guide. The lesson concludes with a review of key takeaways.",Quiz,Media,30-60,Inglese,"['make create two different kinds', 'provided activity guide', 'practice making conclusions', 'practice reading', 'work using']"
"Big, Open, and Crowdsourced Data",https://studio.code.org/s/csp9-2022/lessons/5,14+,"Students will complete a jigsaw of three different topics at the intersection of data, computing, and global impacts. These are topics, big data, crowdsourcing, and open data. Students will watch videos or listen to audio recordings about the different topics. Groups will each complete an activity guide about their topic before having individuals from each group share out their findings. The lesson concludes with a review of key points.",Quiz,Media,30-60,Inglese,"['three different topics', 'different topics', 'watch videos', 'lesson concludes', 'key points']"
Machine Learning,https://studio.code.org/s/csp9-2022/lessons/6,14+,"In this lesson, students are introduced to the concepts of Artificial Intelligence and Machine Learning using the AI for Oceans widget. First students classify objects as either ""fish"" or ""not fish"" to attempt to remove trash from the ocean. Then, students will need to expand their training data set to include other sea creatures that belong in the water. In the second part of the activity, students will choose their own labels to apply to images of randomly generated fish. This training data is used for a machine learning model that should then be able to label new images on its own.",Quiz,Media,30-60,Inglese,"['first students classify objects', 'machine learning using', 'machine learning model', 'training data set', 'label new images']"
Algorithmic Bias,https://studio.code.org/s/csp9-2022/lessons/7,14+,"In this lesson, students will practice cropping images to uncover the bias underlying the Twitter cropping algorithm. Then, students will read and watch a video about the discovery of this biased algorithm. Finally, students will discuss ways to recognize and reduce bias along with analyzing Twitter's response to the allegations of bias in their cropping algorithm.",Quiz,Media,30-60,Inglese,"['practice cropping images', 'reduce bias along', 'twitter cropping algorithm', 'cropping algorithm', 'analyzing twitter']"
Project   Tell a Data Story Part 1,https://studio.code.org/s/csp9-2022/lessons/8,14+,This is the first day of a project where students use the Data Analysis Process to tell a data story.  Students complete the first page of the Activity Guide for this project during this lesson.,Esercizi,Media,30-60,Inglese,"['data analysis process', 'data story', 'students use', 'students complete', 'first page']"
Project   Tell a Data Story Part 2,https://studio.code.org/s/csp9-2022/lessons/9,14+,This is the second day of a project where students use the Data Analysis Process to tell a data story.  Students complete the second page of the Activity Guide for this project during this lesson.,Quiz,Media,30-60,Inglese,"['data analysis process', 'data story', 'students use', 'students complete', 'second page']"
 Assessment Day,https://studio.code.org/s/csp9-2022/lessons/10,14+,Students complete a multiple choice assessment which covers the unit topics. ,Quiz,Media,30-60,Inglese,"['multiple choice assessment', 'unit topics', 'students complete', 'covers']"
 CS Principles Post-Course Survey,https://studio.code.org/s/csp9-2022/lessons/11,14+,This level appears at the end of every unit. Please have your students complete this survey at the end of their final unit! Students only need to take the survey once at the end of the course.,Testo,Facile,0-30,Inglese,"['level appears', 'final unit', 'every unit', 'students complete', 'students']"
Project   Innovation Simulation Part 1,https://studio.code.org/s/csp10-2022/lessons/1,14+,"The class begins a simulation which will continue on at different points throughout the unit. In this simulation, students take on the roles of different stakeholders in school communities converging at a convention where they eventually will deliver a proposal on the best computing innovation for the Future School. In this lesson, students explore what a computing innovation is, do a brainstorm activity, reflect on their character role, and finally learn how to research an innovation. ",Quiz,Media,30-60,Inglese,"['school communities converging', 'different points throughout', 'best computing innovation', 'future school', 'different stakeholders']"
Project   Innovation Simulation Part 2,https://studio.code.org/s/csp10-2022/lessons/2,14+,Today is focused on researching three different computing innovations and discussing these innovations with team members. ,Quiz,Media,30-60,Inglese,"['researching three different computing innovations', 'team members', 'innovations', 'today', 'focused']"
Data Policies and Privacy,https://studio.code.org/s/csp10-2022/lessons/3,14+,"Students learn that the apps, websites, and other computing innovations they use every day require a lot of data to run, much of which they might consider to be private or personal. In the warm up students discuss which of a list of possible information types they consider private. Then students read the data policies from a website or service they use or know about. This investigation focuses on the kinds of data that are being collected, the way it's being used, and any potential privacy concerns that arise. A brief second activity reveals that even data that may not seem private, like a birthdate or zipcode, can be combined to uniquely identify them. To conclude the lesson students prepare for a discussion in the following class about the pros and cons of sharing all this data by journaling about their current thoughts on whether the harms of giving up this privacy are outweighed by the benefits of the technology they power.",Quiz,Media,30-60,Inglese,"['brief second activity reveals', 'use every day require', 'possible information types', 'lesson students prepare', 'potential privacy concerns']"
The Value of Privacy,https://studio.code.org/s/csp10-2022/lessons/4,14+,"Students develop their own opinions on the privacy tradeoffs inherent in many modern computing innovations. At the beginning of the lesson students watch a video on facial recognition technology that presents the tradeoffs between convenience and privacy and asks them to determine whether they think the tradeoff is worth it. Students respond to two videos that look at different tradeoffs between privacy, security, and convenience. Students then evaluate the website or app they investigated in the previous lesson to determine if they think the benefits of the service outweigh the privacy risks. At the end of the class students discuss whether they generally think convenience outweighs privacy concerns.",Testo,Media,30-60,Inglese,"['generally think convenience outweighs privacy concerns', 'many modern computing innovations', 'class students discuss whether', 'facial recognition technology', 'lesson students watch']"
Project   Innovation Simulation Part 3,https://studio.code.org/s/csp10-2022/lessons/5,14+,Students make further projects on their projects while also considering the unintended consequences their proposed innovations may have. First students watch a short video about the ways technology may have unintended consequences. Students then meet with their teams to review the different proposals for computing innovations that each team member is considering. Teams review the different ideas in character and help one another consider potential benefits and harms of each plan. Collectively they narrow down their proposals to a set that seem collectively most beneficial and present a coherent vision for the Future School. With whatever time is remaining students are able to work on one-pagers for the one innovation they chose.,Testo,Media,30-60,Inglese,"['help one another consider potential benefits', 'ways technology may', 'proposed innovations may', 'first students watch', 'one innovation']"
Security Risks Part 1,https://studio.code.org/s/csp10-2022/lessons/6,14+,"Students investigate three different common security risks (phishing, keylogging, malware) in a jigsaw activity. In groups, students create Public Service Announcement slides warning of the dangers of their assigned security risk. Then students are grouped with students who investigated other security risks and are instructed to share their slide and give a voice over. The activity ends with the class coming together to discuss the security risks as a whole. ",Quiz,Media,30-60,Inglese,"['students create public service announcement slides warning', 'students investigate three different common security risks', 'assigned security risk', 'class coming together', 'security risks']"
Security Risks Part 2,https://studio.code.org/s/csp10-2022/lessons/7,14+,"The lesson begins with a review of security risks by watching a video on Cybersecurity & Crime. Following this, the class does an investigation into the Equifax breach, and what went wrong. The class ends with a Kahoot quiz to review security risks. ",Quiz,Media,30-60,Inglese,"['review security risks', 'security risks', 'went wrong', 'lesson begins', 'kahoot quiz']"
Project   Innovation Simulation Part 4,https://studio.code.org/s/csp10-2022/lessons/8,14+,This lesson is primarily a work day for students to complete their innovation 1-pagers. Students should work close to their teammates in case they want to discuss ways to make their proposals more aligned around a cohesive vision for the Future School. Otherwise students should have the entire class period to work independently.,Testo,Media,30-60,Inglese,"['entire class period', 'work independently', 'work day', 'work close', 'innovation 1']"
Protecting Data Part 1,https://studio.code.org/s/csp10-2022/lessons/9,14+,"In this lesson students explore two different encryption widgets: The Caesar Cipher Widget and the Random Substitution Cipher. Afterwards, students watch a video that reviews these types of encryption and introduces a new concept: public key encryption. ",Quiz,Media,30-60,Inglese,"['lesson students explore two different encryption widgets', 'public key encryption', 'random substitution cipher', 'caesar cipher widget', 'students watch']"
 Protecting Data Part 2,https://studio.code.org/s/csp10-2022/lessons/10,14+,"This lesson is a guided tour of multifactor authentication and software updates that students can use to protect their data. Following these discussions, students are introduced to a stimulus question where they will apply their knowledge gained throughout the unit to answer questions about an innovations data, benefits and harms, effects, and security or privacy concerns. ",Quiz,Media,30-60,Inglese,"['knowledge gained throughout', 'stimulus question', 'software updates', 'privacy concerns', 'multifactor authentication']"
 Project   Innovation Simulation Part 5,https://studio.code.org/s/csp10-2022/lessons/11,14+,Students meet with their groups to develop a shared artifact or presentation that presents their collective vision for the Future School. ,Testo,Media,30-60,Inglese,"['students meet', 'shared artifact', 'future school', 'collective vision', 'presents']"
 Project   Innovation Simulation Part 6,https://studio.code.org/s/csp10-2022/lessons/12,14+,Students will get feedback on their group innovation proposal from one other group. They will then have the remainder of the class to finalize their group presentation and individual proposals which will be presented and submitted in the following class,Testo,Media,30-60,Inglese,"['group innovation proposal', 'individual proposals', 'group presentation', 'get feedback', 'following class']"
 Project   Innovation Simulation Part 7,https://studio.code.org/s/csp10-2022/lessons/13,14+,"Students present the group Innovation Proposal they have been working on throughout the units. After each group does a brief presentation students do a gallery walk of their classmates' projects, asking questions and reviewing any materials. Students then vote for the unified project and overall innovation they found most compelling. At the end of the lesson students will submit their projects for grading. ",Quiz,Media,30-60,Inglese,"['brief presentation students', 'group innovation proposal', 'overall innovation', 'unified project', 'students present']"
 Assessment Day,https://studio.code.org/s/csp10-2022/lessons/14,14+,Students complete a multiple choice assessment which covers the unit topics.,Quiz,Media,30-60,Inglese,"['multiple choice assessment', 'unit topics', 'students complete', 'covers']"
 CS Principles Post-Course Survey,https://studio.code.org/s/csp10-2022/lessons/15,14+,This level appears at the end of every unit. Please have your students complete this survey at the end of their final unit! Students only need to take the survey once at the end of the course.,Testo,Facile,0-30,Inglese,"['level appears', 'final unit', 'every unit', 'students complete', 'students']"
Discoveries Pre-surveyCS,https://studio.code.org/s/csd1-2022/lessons/1,14+,Question of the Day: What can help us to work together and solve problems as a team?,Testo,Media,30-60,Inglese,"['work together', 'solve problems', 'help us', 'team', 'question']"
Intro to Problem Solving,https://studio.code.org/s/csd1-2022/lessons/2,14+,Question of the Day: What are some common steps we can use to solve many different types of problems?,Video,Media,30-60,Inglese,"['solve many different types', 'common steps', 'use', 'question', 'problems']"
